country,iso_code,date,Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Liechtenstein,LIE,25/02/2021,38019.00,,,,,105,,,,2753,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL
Lithuania,LTU,25/02/2021,2786844.00,227789,155528,72261,11807,6999,8.37,5.71,2.65,2571,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,25/02/2021,619896.00,36071,26089,9982,1311,1020,5.76,4.17,1.59,1629,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/fr/datasets/r/f56105f1-0330-416c-b16f-101b9ada3ba0
Macau,MAC,25/02/2021,682800.00,10691,10691,,1407,1193,1.65,1.65,,1837,"Pfizer/ BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/368822/
Malaysia,MYS,25/02/2021,31949777.00,,,,,895,,,,28,Pfizer/BioNTech,Government of Malaysia,https://twitter.com/JKJAVMY/status/1370608736092442625
Maldives,MDV,25/02/2021,530953.00,98311,,,7446,4895,18.19,,,9056,Oxford/AstraZeneca,Presidency of the Maldives,https://twitter.com/HPA_MV/status/1370419731929436162
Malta,MLT,25/02/2021,502653.00,73644,50249,23395,2082,1992,16.68,11.38,5.3,4511,Pfizer/BioNTech,COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mexico,MEX,25/02/2021,126014024.00,2088813,1562401,526412,188029,110108,1.62,1.21,0.41,854,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Secretary of Health,https://www.gob.mx/salud/prensa/106-remdesivir-podra-suministrarse-a-pacientes-covid-19-con-ciertas-especificaciones?idiom=es
Mongolia,MNG,25/02/2021,3225167.00,,,,,1232,,,,376,Oxford/AstraZeneca,Ministry of Health,https://montsame.mn/en/read/254989
Montenegro,MNE,25/02/2021,622137.00,1113,1113,,,223,0.18,0.18,,355,"Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Morocco,MAR,25/02/2021,36910560.00,3204105,3160479,43626,255160,138712,8.68,8.56,0.12,3758,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.covidmaroc.ma/pages/Accueilfr.aspx
Netherlands,NLD,25/02/2021,17332850.00,,,,,40436,,,,2360,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma
New Zealand,NZL,25/02/2021,4841000.00,,,,,161,,,,33,Pfizer/BioNTech,Ministry of Health,https://www.rnz.co.nz/news/national/438064/covid-19-vaccine-2m-new-zealanders-will-get-first-dose-within-four-months
United Kingdom,,25/02/2021,66834405.00,537086,505188,31898,13856,10080,28.36,26.68,1.68,5323,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,25/02/2021,5347896.00,478371,324958,153413,36003,14117,8.82,5.99,2.83,2604,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,25/02/2021,5266535.00,,,,,1660,,,,325,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/OmaniMOH/status/1369577366708699140/photo/1
Panama,PAN,25/02/2021,4246439.00,89419,,,18841,10864,2.07,,,2518,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1370521877278494720/photo/1
Paraguay,PRY,25/02/2021,7044636.00,1000,1000,,,250,0.01,0.01,,35,Sputnik V,Government of Paraguay,https://vacunate.mspbs.gov.py/index-listado-vacunados.php
Peru,PER,25/02/2021,32510453.00,,285828,,,,,0.87,,,Sinopharm/Beijing,Ministry of Health,https://www.datosabiertos.gob.pe/dataset/vacunaci%C3%B3n-contra-covid-19-ministerio-de-salud-minsa
Poland,POL,25/02/2021,37970874.00,,,,,81893,,,,2164,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,25/02/2021,10269417.00,752317,497040,255277,31600,24802,7.38,4.87,2.5,2432,"Moderna, Pfizer/BioNTech",General Directorate of Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,25/02/2021,2832067.00,,,,,11000,,,,3818,Pfizer/BioNTech,National Strategic Group on COVID-19,https://twitter.com/MOPHQatar/status/1368573172711370756
Romania,ROU,25/02/2021,19356544.00,1486907,872361,614546,20258,29526,7.73,4.53,3.19,1535,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
Russia,RUS,25/02/2021,144373535.00,,,,,70472,,,,483,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Rwanda,RWA,25/02/2021,12626950.00,,,,,4170,,,,322,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/RwandaHealth/status/1370347319275708419
Saint Lucia,LCA,25/02/2021,182790.00,,,,,131,,,,713,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryOfHealthSaintLucia/photos/a.2596703290449740/3920340978085958/?type=3&theater
Saudi Arabia,SAU,25/02/2021,34268528.00,639587,,,38789,19697,1.84,,,566,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
United Kingdom,,25/02/2021,66834405.00,1608269,1542929,65340,35628,27586,29.44,28.24,1.2,5049,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Senegal,SEN,25/02/2021,16296364.00,11749,11749,,7662,3916,0.07,0.07,,234,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MinisteredelaS1/status/1369984043819892739
Serbia,SRB,25/02/2021,6944975.00,1375872,878143,497729,32154,35659,20.22,12.91,7.31,5240,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://www.rts.rs/page/stories/sr/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81/story/3134/koronavirus-u-srbiji/4292355/koronavirus-srbija-mere-vikend-zatvaranja.html
Seychelles,SYC,25/02/2021,97625.00,75096,51577,23519,,1687,76.36,52.45,23.92,17155,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/pcb.1682413525293105/1682413471959777/
Singapore,SGP,25/02/2021,5703569.00,,,,,15004,,,,2565,Pfizer/BioNTech,Ministry of Health,https://www.moh.gov.sg/covid-19
Slovakia,SVK,25/02/2021,5454073.00,422707,298968,123739,11081,10794,7.74,5.48,2.27,1977,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,25/02/2021,2087946.00,166310,115165,51145,10762,4137,8,5.54,2.46,1990,"Oxford/AstraZeneca, Pfizer/BioNTech","National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
South Africa,ZAF,25/02/2021,58558270.00,52647,52647,52647,10838,7198,0.09,0.09,0.09,121,Johnson&Johnson,Ministry of Health,https://sacoronavirus.co.za/
South Korea,KOR,25/02/2021,51709098.00,0,0,,,,0,0,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
Spain,ESP,25/02/2021,47076781.00,3605635,2361852,1243783,169477,95661,7.71,5.05,2.66,2046,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210312.ods
Sri Lanka,LKA,25/02/2021,21803000.00,,,,,23797,,,,1111,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/Rumindahg/status/1370583763676131331
Sweden,SWE,25/02/2021,10285453.00,,,,,21111,,,,2090,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,25/02/2021,8574832.00,758476,530760,227716,10588,19025,8.76,6.13,2.63,2198,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
Turkey,TUR,25/02/2021,83429615.00,7979726,6582239,1397487,360031,297776,9.46,7.8,1.66,3531,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Ukraine,UKR,25/02/2021,44385155.00,1338,1338,,1179,1179,0,0,,27,Oxford/AstraZeneca,Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,25/02/2021,9770529.00,5846036,,,84573,67472,59.11,,,6822,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,25/02/2021,66834405.00,19913592,19177555,736037,521039,349781,29.33,28.25,1.08,5152,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,25/02/2021,328239523.00,68274117,46074392,21555117,1809170,1505193,20.41,13.78,6.45,4501,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Venezuela,VEN,25/02/2021,28515829.00,,,,,534,,,,19,Sputnik V,Government of Venezuela,https://www.semana.com/mundo/articulo/y-el-carvativir-venezuela-solo-ha-vacunado-a-unas-12000-personas-contra-el-coronavirus/202126/
United Kingdom,,25/02/2021,66834405.00,982396,902334,80062,23275,16843,31.16,28.62,2.54,5342,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Zimbabwe,ZWE,25/02/2021,14645468.00,11007,11007,,3135,1572,0.07,0.07,,106,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1370448161106448389
Albania,ALB,24/02/2021,2854191.00,,,,,1043,,,,362,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-702-te-vaksinuar-3035-testime-714-te-sheruar-631-raste-te-reja-dhe-17-humbje-jete-ne-24-oret-e-fundit/
Andorra,AND,24/02/2021,77142.00,2390,2390,,,57,3.09,3.09,,738,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12516-la-campanya-de-vacunacio-passara-a-la-fase-3-a-finals-d-aquesta-setmana
Anguilla,AIA,24/02/2021,15094.00,,,,,97,,,,6466,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MinistryofHealthAnguilla/posts/1401018393586066?__cft__[0]=AZW-80LVjuILqNGdOZL1sR-MrM8Dx3VzvZbOJhtfQzOqI7GI2R2-H7nzVpxe38RNNNBlPCpnCM-TyQ9GIK6uMRz6r2DXYHNjlOaD7QkIerslsc6iZPAHaB1Wr6odRJR4denyVHeQcpuAmXZ0yhSv0Oz4&__tn__=%2CO%2CP-R
Argentina,ARG,24/02/2021,44938712.00,780455,513394,267061,33840,24019,1.73,1.14,0.59,531,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Australia,AUS,24/02/2021,25364307.00,6908,6908,,4029,987,0.03,0.03,,39,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Austria,AUT,24/02/2021,8877067.00,590281,365079,225202,19028,14050,6.55,4.05,2.5,1560,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,24/02/2021,10023318.00,,,,,9929,,,,979,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,24/02/2021,1501635.00,,284948,,,7712,,16.75,,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,24/02/2021,167310838.00,2673038,2673038,,181985,155239,1.62,1.62,,943,Oxford/AstraZeneca,Directorate General of Health Services,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-11-3-2021.pdf
Barbados,BRB,24/02/2021,287025.00,25578,25578,,3541,2352,8.9,8.9,,8185,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/moh.barbados/photos/a.768944336470972/4014237895274917/5
Belgium,BEL,24/02/2021,11484055.00,772852,466700,306152,22133,16944,6.67,4.03,2.64,1462,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Bermuda,BMU,24/02/2021,63918.00,,,,,607,,,,9747,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/03/27727-total-vaccinations-administered/
Bolivia,BOL,24/02/2021,11513100.00,,,,,491,,,,42,Sputnik V,Ministry of Health,https://twitter.com/SaludDeportesBo/status/1370551583285649411
Brazil,BRA,24/02/2021,212559417.00,7551676,6116082,1435594,254615,238305,3.55,2.88,0.68,1121,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,24/02/2021,6975761.00,168462,136454,32008,20236,11792,2.42,1.96,0.46,1697,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Cambodia,KHM,24/02/2021,16486542.00,,,,,1028,,,,61,Sinopharm/Beijing,Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/posts/3842943682411376?__cft__[0]=AZWillbi6SVPNfcAlwgJRee1QCqfXP1Tc3IAdpxntFnRF97brk7r6Y3YIxhuyjFts2svW9WVehnKu5quMWandSzGyHSezQXVyrYl4sg00UV64QzkGg12ag-ZYM5ftYWZWi8RF-H8LkXuDmR3eAjBvseE&__tn__=%2CO%2CP-R
Canada,CAN,24/02/2021,37589262.00,1652562,1170515,482047,46090,46166,4.38,3.1,1.28,1223,"Moderna, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cayman Islands,CYM,24/02/2021,71100.00,20468,12710,7758,530,535,31.14,19.34,11.8,8141,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-news
Chile,CHL,24/02/2021,18952038.00,3194060,3138091,55969,86108,85121,16.71,16.42,0.29,4453,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
China,CHN,24/02/2021,1397715000.00,,,,,631579,,,,439,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://global.chinadaily.com.cn/a/202103/03/WS603ec65ba31024ad0baac40f.html
Colombia,COL,24/02/2021,50339443.00,50524,50524,,2374,7215,0.1,0.1,,142,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx
Costa Rica,CRI,24/02/2021,5047561.00,,,,,2417,,,,474,Pfizer/BioNTech,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Croatia,HRV,24/02/2021,4067500.00,184076,125771,58305,,7009,4.48,3.06,1.42,1707,Pfizer/BioNTech,Ministry of Health,https://www.rtl.hr/vijesti-hr/novosti/hrvatska/3994562/rtlhr-doznaje-evo-koliko-je-cijepljenih-u-hrvatskoj-i-kako-stojimo-u-odnosu-na-druge-zemlje/
Cyprus,CYP,24/02/2021,1198575.00,,,,,2420,,,,2763,Pfizer/BioNTech,Government of Cyprus,https://www.pio.gov.cy/coronavirus/uploads/08032021--%CE%A1%CE%B1%CE%BD%CF%84%CE%B5%CE%B2%CE%BF%CF%8D%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CE%BC%CE%B2%CE%BF%CE%BB%CE%B9%CE%B1%CF%83%CE%BC%CF%8C%20%CE%BA%CE%B1%CF%84%CE%AC%20%CF%84%CE%B7%CF%82%20COVID-19.pdf
Czech Republic,CZE,24/02/2021,10669709.00,610492,380336,230156,19582,14081,5.7,3.55,2.15,1315,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,24/02/2021,5818553.00,542352,362114,180238,15662,13642,9.36,6.25,3.11,2355,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Dominica,DMA,24/02/2021,71808.00,,,,,400,,,,5556,Oxford/AstraZeneca,Government of Dominica,http://dominica.gov.dm/images/coronavirus/dominica-coronavirus-update-March-1-2021.jpg
Dominican Republic,DOM,24/02/2021,10738958.00,26400,26400,,,3574,0.24,0.24,,329,Oxford/AstraZeneca,Ministry of Public Health,https://twitter.com/SaludPublicaRD/status/1370015677608828930
Ecuador,ECU,24/02/2021,17373662.00,24492,20784,3708,,2329,0.14,0.12,0.02,132,Pfizer/BioNTech,Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
El Salvador,SLV,24/02/2021,6453553.00,,,,,1810,,,,279,Oxford/AstraZeneca,Ministry of Health,https://www.presidencia.gob.sv/gobierno-ya-aplico-16000-vacunas-anti-covid-19-al-personal-de-salud-de-primera-linea-publica-y-privada/
United Kingdom,,24/02/2021,66834405.00,16337561,15794992,542569,411146,288492,29.03,28.06,0.96,5125,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,24/02/2021,1326590.00,96515,68297,28218,4730,3542,7.28,5.15,2.13,2670,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-11-marts-oopaevaga-lisandus-1957-positiivset-testi
Faroe Islands,FRO,24/02/2021,53358.00,6713,4190,2523,454,164,13.74,8.57,5.16,3356,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Finland,FIN,24/02/2021,5520314.00,377441,302342,75099,,11322,6.81,5.46,1.36,2043,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,24/02/2021,67059887.00,4111784,2712800,1398984,137045,111798,6.06,4,2.06,1648,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,24/02/2021,83132799.00,5496436,3591575,1904861,173319,140103,6.56,4.29,2.27,1672,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,24/02/2021,34003.00,33371,20443,12928,666,812,99.05,60.68,38.37,24101,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1370393963312582658
Greece,GRC,24/02/2021,10716322.00,794347,522510,271837,31723,27240,7.62,5.01,2.61,2613,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,24/02/2021,56081.00,,,,,77,,,,1356,Pfizer/BioNTech,Government of Greenland,https://knr.gl/da/nyheder/overblik-s%C3%A5-langt-er-gr%C3%B8nland-med-vaccinere
Grenada,GRD,24/02/2021,112003.00,,,,,285,,,,2533,Oxford/AstraZeneca,Government of Grenada,http://www.gov.gd/more-3000-grenadians-receive-covid-19-vaccine
Guernsey,GGY,24/02/2021,65573.00,,,,,113,,,,1685,Pfizer/BioNTech,Government of Guernsey,https://covid19.gov.gg/guidance/vaccine
Hong Kong,HKG,24/02/2021,7507400.00,,,,,1200,,,,160,"Pfizer/BioNTech, Sinovac",Government of Hong Kong,https://www.info.gov.hk/gia/general/202103/12/P2021031200872.htm
Hungary,HUN,24/02/2021,9769949.00,719146,508043,211073,39296,30443,7.44,5.26,2.18,3151,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg
Iceland,ISL,24/02/2021,361313.00,,,,,1160,,,,3399,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,24/02/2021,1366417754.00,12366633,10884879,1481754,459241,454268,0.9,0.79,0.11,329,"Covaxin, Oxford/AstraZeneca",Ministry of Health,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf
Indonesia,IDN,24/02/2021,270203917.00,2188788,1363138,825650,128917,63074,0.8,0.5,0.3,231,Sinovac,Ministry of Health,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html
Ireland,IRL,24/02/2021,5007069.00,391355,254948,136407,18075,11494,7.93,5.16,2.76,2328,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,24/02/2021,84584.00,18323,13122,5201,282,502,21.55,15.43,6.12,5904,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,24/02/2021,9053300.00,7821846,4601666,3220180,123381,125424,90.37,53.16,37.2,14491,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,24/02/2021,60297396.00,3884891,2523349,1361542,119895,91014,6.43,4.17,2.25,1505,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Japan,JPN,24/02/2021,126226568.00,17888,17888,,,2538,0.01,0.01,,20,Pfizer/BioNTech,"Ministry of Health, Labour and Welfare",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/vaccine_sesshujisseki.html
Jersey,JEY,24/02/2021,107800.00,,,,,531,,,,5254,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Jersey,https://www.gov.je/Health/Coronavirus/Vaccine/Pages/VaccinationStatistics.aspx
Jordan,JOR,24/02/2021,10101694.00,,,,,7965,,,,781,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.reuters.com/article/us-health-coronavirus-jordan/jordan-says-covid-19-vaccination-drive-to-accelerate-in-coming-weeks-idUSKBN2AP2VO
